vnum,volcano_name,region,latitude,longitude,elevation_meters,is_monitored,nvews_threat,threat_score,alert_level,color_code,alert_score,color_score,obs_abbr,obs_fullname,volcano_url,volcano_image_url,hans_url,eq_count_30d,eq_max_mag_30d,eq_avg_mag_30d,eq_avg_depth_km,eq_shallow_count,composite_risk_score
311030,Segula,Alaska - Aleutians,52.0138,178.134,1153,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Segula,https://avo.alaska.edu/images/dbimages/display/1125341151_11_3.jpg,,0,0.0,0.0,0.0,0,10.0
311150,Sergief,Alaska - Aleutians,52.0533,-174.9521,560,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Sergief,,,0,0.0,0.0,0.0,0,10.0
314040,St. Michael,Alaska - Southwest Alaska,63.4493,-162.123,715,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=St. Michael,,,0,0.0,0.0,0.0,0,10.0
312051,Stepovak Bay group,Alaska - Alaska Peninsula,55.9125,-160.041,1323,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Stepovak Bay 2,,,0,0.0,0.0,0.0,0,10.0
311241,Tanax̂ Angunax̂,Alaska - Aleutians,52.839,-169.758,1170,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Tanax%CC%82%20Angunax%CC%82,,,0,0.0,0.0,0.0,0,10.0
311250,Uliaga,Alaska - Aleutians,53.065,-169.767,888,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Uliaga,https://avo.alaska.edu/images/dbimages/display/1118792225_24_3.jpg,,0,0.0,0.0,0.0,0,10.0
312132,Unnamed (near Ukinrek Maars),Alaska - Alaska Peninsula,57.869,-155.422,300,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Unnamed (near Ukinrek Maars),,,0,0.0,0.0,0.0,0,10.0
311315,Wide Bay cone,Alaska - Aleutians,53.9611,-166.615,640,False,Low Threat,2,,,0,0,avo,Alaska Volcano Observatory,https://avo.alaska.edu/volcanoes/volcinfo.php?volcname=Wide Bay cone,,,0,0.0,0.0,0.0,0,10.0
322060,Belknap Crater,Oregon,44.285,-121.841,2095,False,Low Threat,2,,,0,0,cvo,Cascades Volcano Observatory,https://www.usgs.gov/volcanoes/belknap,https://volcanoes.usgs.gov/vsc/images/belknap/Belknap-home.jpg,,0,0.0,0.0,0.0,0,10.0
322030,Blue Lake Crater,Oregon,44.42,-121.77,1230,False,Low Threat,2,,,0,0,cvo,Cascades Volcano Observatory,https://www.usgs.gov/volcanoes/blue-lake-crater,https://volcanoes.usgs.gov/vsc/images/blue_lake_crater/Blue_Lake_Crater_LeeSiebert_081080-home.jpg,,0,0.0,0.0,0.0,0,10.0
